sample_alias,sample_name,environment,sample_accession,run_accession,ebi_fq_1,ebi_fq_2,fq_1,fq_2
RSZAXPI002472-107_2,C32,saliva,SAMEA2738051,ERR589406,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589406/ERR589406_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589406/ERR589406_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH32_saliva.RSZAXPI002472-107_2.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH32_saliva.RSZAXPI002472-107_2.clean.trim.rmhost.2.fq.gz
RSZAXPI002473-113,C40,saliva,SAMEA2738052,ERR589409,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589409/ERR589409_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589409/ERR589409_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH40_saliva.RSZAXPI002473-113.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH40_saliva.RSZAXPI002473-113.clean.trim.rmhost.2.fq.gz
RSZAXPI002473-113_2,C40,saliva,SAMEA2738053,ERR589408,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589408/ERR589408_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589408/ERR589408_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH40_saliva.RSZAXPI002473-113_2.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH40_saliva.RSZAXPI002473-113_2.clean.trim.rmhost.2.fq.gz
RSZAXPI002474-129,C43,saliva,SAMEA2738054,ERR589411,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589411/ERR589411_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589411/ERR589411_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH43_saliva.RSZAXPI002474-129.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH43_saliva.RSZAXPI002474-129.clean.trim.rmhost.2.fq.gz
RSZAXPI002474-129_2,C43,saliva,SAMEA2738055,ERR589410,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589410/ERR589410_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589410/ERR589410_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH43_saliva.RSZAXPI002474-129_2.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH43_saliva.RSZAXPI002474-129_2.clean.trim.rmhost.2.fq.gz
RSZAXPI002475-133,C47,saliva,SAMEA2738056,ERR589413,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589413/ERR589413_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589413/ERR589413_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH47_saliva.RSZAXPI002475-133.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH47_saliva.RSZAXPI002475-133.clean.trim.rmhost.2.fq.gz
RSZAXPI002475-133_2,C47,saliva,SAMEA2738057,ERR589412,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589412/ERR589412_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589412/ERR589412_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH47_saliva.RSZAXPI002475-133_2.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH47_saliva.RSZAXPI002475-133_2.clean.trim.rmhost.2.fq.gz
RSZAXPI002476-140,C50,saliva,SAMEA2738058,ERR589415,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589415/ERR589415_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589415/ERR589415_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH50_saliva.RSZAXPI002476-140.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH50_saliva.RSZAXPI002476-140.clean.trim.rmhost.2.fq.gz
RSZAXPI002476-140_2,C50,saliva,SAMEA2738059,ERR589414,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589414/ERR589414_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589414/ERR589414_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH50_saliva.RSZAXPI002476-140_2.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH50_saliva.RSZAXPI002476-140_2.clean.trim.rmhost.2.fq.gz
RSZAXPI002477-142,C51,saliva,SAMEA2738060,ERR589417,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589417/ERR589417_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589417/ERR589417_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH51_saliva.RSZAXPI002477-142.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH51_saliva.RSZAXPI002477-142.clean.trim.rmhost.2.fq.gz
